Operator,Parts,attempt_1,attempt_2,attempt_3
user11,img0_300,0.7961477505333253,0.7913635001238005,0.7595953369870285
user11,img1_300,0.7141088906101322,0.6878715361484036,0.7363256891524235
user11,img2_300,0.7082862856897835,0.6547167303204734,0.6398635824172894
user11,img3_300,0.7577811617686109,0.696652033744868,0.7994930617130003
user40,img0_300,0.7477609169799062,0.7069234606218479,0.6763505324528062
user40,img1_300,0.7066759635414109,0.7028309096284396,0.6717170645525501
user40,img2_300,0.6222829922766514,0.6466317487521059,0.6972971774953179
user40,img3_300,0.6916716895826764,0.6083725163051722,0.5468641034768927
user41,img0_300,0.6745437165151279,0.7641252462452437,0.4011631964376968
user41,img1_300,0.4893978953588443,0.3699659989460012,0.6512537821164134
user41,img2_300,0.711448411642633,0.6275403761550212,0.5773227857918412
user41,img3_300,0.4963964421281804,0.5722499715495842,0.5242679240175067
user42,img0_300,0.8027751387135538,0.7820348571509983,0.7425630205611736
user42,img1_300,0.704233961492467,0.6723823614594161,0.6274352331316037
user42,img2_300,0.7109308236252618,0.5799522913926001,0.6145533495432035
user42,img3_300,0.629752214575217,0.6920797208380242,0.6491716369945211
