Operator,Image,eps,IoU,F1_3,IoU_3,Annotation_accuracy
A,ex0_300,8.935637160986325,0.8918857032130612,0.6942290930483932,0.2774118640489761,0.9667111111111112
A,ex0_300,8.719945664262037,0.8895603049756694,0.6889417907556371,0.2935147234263711,0.9636555555555556
A,ex0_300,8.298180249169262,0.8933990804982422,0.6919642682463972,0.3019203655699764,0.9631777777777778
A,ex3_300,23.41353197109386,0.7552582636365569,0.6954321700629762,0.1465379881823106,0.9229222222222222
A,ex3_300,27.09303845494408,0.7236179782049751,0.691879302321723,0.09978094725884,0.9264111111111112
A,ex3_300,27.32010477372305,0.7212333062259914,0.6965953018613158,0.1252870125388243,0.9247111111111112
A,ex1_300,3.8764803228330273,0.8933146436142744,0.6556013972035796,0.3590653510286116,0.9418111111111112
A,ex1_300,2.479676327850594,0.9100151658667262,0.6715897289186696,0.4142013092463196,0.9512444444444444
A,ex1_300,4.312918994713052,0.90961460172565,0.6753458584115795,0.3775716136028194,0.9491444444444443
A,ex2_300,15.010520687464313,0.8389588256389566,0.6779346621898734,0.1322650160476845,0.9357555555555556
A,ex2_300,17.681639890517214,0.8150440753947386,0.6777258099408193,0.1070681820293841,0.9251
A,ex2_300,19.877737774381377,0.7954617969559894,0.6758522252156333,0.0818273492647921,0.9225777777777778
B,ex0_300,6.821846174113004,0.9052169043999426,0.7008613959713009,0.3366348002484933,0.9711888888888888
B,ex0_300,6.806787385173754,0.907902154597433,0.7045141891622207,0.3445073091260038,0.9711444444444444
B,ex0_300,6.934989943306395,0.9056767289588415,0.6991672604789239,0.3223942740213628,0.9691333333333332
B,ex3_300,11.364519869151678,0.8610342294627745,0.7376161506917218,0.3697000138561729,0.9437111111111112
B,ex3_300,11.015364662464618,0.8608879959080379,0.7350841310098447,0.3756633253138008,0.9442666666666668
B,ex3_300,11.143225271992376,0.859435655403018,0.734312869662746,0.3723455795029218,0.9452555555555556
B,ex1_300,3.663386304483909,0.9083939396116084,0.6768872557101914,0.3834906305566954,0.9531777777777778
B,ex1_300,4.182068444683047,0.905749712082868,0.6745145949772496,0.3757267839740712,0.9462444444444444
B,ex1_300,1.7899039348612595,0.9060264219022578,0.6649096205735571,0.4073202020895254,0.9504444444444444
B,ex2_300,11.710092854226676,0.8714406625354908,0.6859289662362271,0.1701809843134747,0.9386111111111112
B,ex2_300,11.869251972276594,0.8703490070970247,0.6863006985283967,0.1677349057813101,0.9446777777777776
B,ex2_300,15.570174555638856,0.8355913681611279,0.6797888959256912,0.1223006596458743,0.9350555555555556
C,ex0_300,2.568871884310317,0.9254719332745106,0.6946654565390658,0.4731954310484159,0.9715888888888888
C,ex0_300,3.268687933208654,0.9197192259478,0.6904068684568918,0.441334713577027,0.9699222222222222
C,ex0_300,1.564610557284965,0.9236588752592856,0.6832408773192368,0.4690152735003986,0.9743
C,ex3_300,13.400613500056874,0.7535232612452111,0.6580214055156011,0.4316679362677988,0.9409444444444444
C,ex3_300,18.03326888244192,0.7415651876662884,0.6795974692215927,0.3809912279200491,0.9373444444444444
C,ex3_300,16.969235026201922,0.7576234074226704,0.6877938974445424,0.399511351260626,0.9443222222222222
C,ex1_300,3.506027135100032,0.9043915595323344,0.6066898792527814,0.4916095502108025,0.9533333333333334
C,ex1_300,0.8302537723529451,0.9100685121894924,0.6452163147396658,0.5016135577499082,0.9372222222222222
C,ex1_300,2.112632072282712,0.9200527030466854,0.6482208199471878,0.5148997782470452,0.9562777777777778
C,ex2_300,7.339276669519956,0.8701220739478523,0.6759007526543227,0.29262960649594,0.9442444444444444
C,ex2_300,2.382555226563181,0.9171196612744782,0.6832561678639136,0.4296065771749733,0.9403111111111112
C,ex2_300,6.998974907375273,0.8636420363380191,0.6660871792284797,0.2993750890548985,0.9369111111111111
